year,country,side_a,side_b,deaths_a,deaths_b,deaths_civilians
1998,Turkey,Government of Turkey,PKK,0,1,0
1997,Turkey,Government of Turkey,PKK,11,0,0
1998,Turkey,Government of Turkey,PKK,0,3,0
1998,Turkey,Government of Turkey,PKK,0,13,0
1998,Turkey,Government of Turkey,PKK,22,0,0
1998,Turkey,Government of Turkey,PKK,5,0,0
1998,Turkey,Government of Turkey,PKK,0,3,0
1998,Turkey,Government of Turkey,PKK,0,37,0
1998,Turkey,Government of Turkey,PKK,0,12,0
1998,Turkey,Government of Turkey,PKK,1,0,0
1998,Turkey,Government of Turkey,PKK,8,20,0
1998,Turkey,Government of Turkey,PKK,0,27,0
1998,Turkey,Government of Turkey,PKK,0,2,0
1998,Turkey,Government of Turkey,PKK,0,3,0
1998,Turkey,Government of Turkey,PKK,13,165,0
1998,Turkey,Government of Turkey,PKK,0,2,0
1998,Turkey,Government of Turkey,PKK,1,0,0
1998,Turkey,Government of Turkey,PKK,1,8,0
1998,Turkey,Government of Turkey,PKK,0,4,0
1999,Turkey,Government of Turkey,PKK,2,7,0
1998,Turkey,Government of Turkey,PKK,1,12,0
1998,Turkey,Government of Turkey,PKK,2,0,0
1998,Turkey,Government of Turkey,PKK,1,0,0
1998,Turkey,Government of Turkey,PKK,0,11,0
1998,Turkey,Government of Turkey,PKK,0,3,0
1998,Turkey,Government of Turkey,PKK,0,2,0
1998,Turkey,Government of Turkey,PKK,20,0,0
1997,Turkey,Government of Turkey,PKK,0,2,0
1998,Turkey,Government of Turkey,PKK,0,18,0
1998,Turkey,Government of Turkey,PKK,0,1,1
1999,Turkey,Government of Turkey,PKK,0,1,0
2015,Turkey,Government of Turkey,PKK,2,0,0
1999,Turkey,Government of Turkey,PKK,2,0,0
1999,Turkey,Government of Turkey,PKK,0,2,0
1999,Turkey,Government of Turkey,PKK,1,6,0
1998,Turkey,Government of Turkey,PKK,1,5,0
1997,Turkey,Government of Turkey,PKK,9,27,0
1997,Turkey,Government of Turkey,PKK,0,7,0
1997,Turkey,Government of Turkey,PKK,1,0,0
1997,Turkey,Government of Turkey,PKK,2,0,0
1997,Turkey,Government of Turkey,PKK,5,15,0
1998,Turkey,Government of Turkey,PKK,0,10,0
1997,Turkey,Government of Turkey,PKK,0,3,0
1997,Turkey,Government of Turkey,PKK,0,6,0
1997,Turkey,Government of Turkey,PKK,0,1,0
1997,Turkey,Government of Turkey,PKK,0,13,0
1997,Turkey,Government of Turkey,PKK,0,2,0
1997,Turkey,Government of Turkey,PKK,0,0,0
1997,Turkey,Government of Turkey,PKK,0,2,0
1997,Iraq,Government of Turkey,PKK,791,0,0
1998,Turkey,Government of Turkey,PKK,13,0,0
1998,Turkey,Government of Turkey,PKK,0,2,0
1998,Turkey,Government of Turkey,PKK,0,4,0
1998,Turkey,Government of Turkey,PKK,0,4,0
1997,Turkey,Government of Turkey,PKK,1,0,0
1997,Turkey,Government of Turkey,PKK,0,5,0
1998,Turkey,Government of Turkey,PKK,0,35,0
1998,Turkey,Government of Turkey,PKK,0,2,0
1998,Turkey,Government of Turkey,PKK,0,117,0
1998,Turkey,Government of Turkey,PKK,2,0,0
1999,Turkey,Government of Turkey,PKK,0,3,0
1999,Turkey,Government of Turkey,PKK,0,3,0
1999,Turkey,Government of Turkey,PKK,2,20,0
1999,Turkey,Government of Turkey,PKK,0,11,0
1998,Turkey,Government of Turkey,PKK,3,0,0
1998,Turkey,Government of Turkey,PKK,0,10,0
1999,Turkey,Government of Turkey,PKK,0,2,0
1999,Turkey,Government of Turkey,PKK,3,11,0
1998,Turkey,Government of Turkey,PKK,1,0,1
1998,Turkey,Government of Turkey,PKK,0,53,0
1996,Turkey,Government of Turkey,PKK,0,9,0
1996,Turkey,Government of Turkey,PKK,0,8,0
1996,Turkey,Government of Turkey,PKK,3,0,1
